Contract.Date	Transaction.Date	Address	Price	Block.Size.m2	Transaction.Type	Purpose	Advertise.Date	Bed.Num	Bath.Num	Ensuite.Num	Garage.Num	Carport.Num
15/02/2014	8/05/2014	5 Moroak Street	1210000	1173	Full transfer	Single residential dwelling	22/01/2014	5	4	NA	8	NA
21/01/2014	NA	5 Marrakai Street *	1175000	1205	Full transfer	NA	19/11/2013	5	1	2	3	NA
24/04/2014	21/05/2014	15 Marrakai Street	970000	1371	Full transfer	Single residential dwelling	10/03/2014	4	1	1	2	NA
11/06/2014	NA	8 Goodparla Street *	909000	2191	Full transfer	NA	12/05/2014	5	1	1	2	NA
15/02/2014	10/06/2014	24 Elsey Street	866000	1225	Full transfer	Single residential dwelling	20/01/2014	3	1	1	NA	NA
14/03/2014	30/04/2014	44 Elsey Street	815000	1225	Full transfer	Single residential dwelling	7/11/2013	4	1	1	2	3
3/04/2014	30/05/2014	18/1 Delamere Street	765000	18341	Full transfer	Multiple unit dwelling	NA	NA	NA	NA	NA	NA
3/04/2014	NA	18/3 Delamere Street *	765000	18341	Full transfer	NA	12/03/2014	4	1	1	2	NA
3/04/2014	8/05/2014	3 Anningie Place	760000	1131	Full transfer	Single residential dwelling	24/02/2014	5	1	2	2	NA
27/02/2014	5/05/2014	24/1 Delamere Street	730000	18341	Full transfer	Multiple unit dwelling	NA	NA	NA	NA	NA	NA
27/02/2014	NA	24/5 Delamere Street *	730000	NA	Full transfer	NA	31/01/2014	4	1	1	2	NA
28/01/2014	7/05/2014	4/9 Jinka Street	480000	3362	Full transfer	Multiple unit dwelling	28/11/2013	3	1	1	NA	1
29/04/2014	4/06/2014	53 Elkedra Close	470000	472	Full transfer	Medium density dwelling	11/03/2014	3	2	NA	1	NA
18/06/2014	NA	5/42 Jinka Street *	460000	579	Full transfer	NA	20/05/2014	3	2	NA	2	NA
20/06/2014	NA	1 Epenarra Close *	425000	515	Full transfer	NA	27/02/2014	3	1	NA	1	NA
11/02/2014	9/04/2014	11 Epenarra Close	425000	297	Full transfer	Medium density dwelling	5/12/2013	3	2	NA	NA	1
7/03/2014	14/04/2014	2/21 Jinka Street	393000	10221	Full transfer	Multiple unit dwelling	15/01/2014	2	1	NA	1	NA
20/06/2014	NA	23/30 Springvale Drive *	286500	4017	Full transfer	NA	27/11/2013	3	1	1	NA	1
12/06/2014	3/07/2014	21/8 Beetaloo Street	239000	5520	Full transfer	Multiple unit dwelling	30/04/2014	2	1	NA	NA	1
1/04/2014	12/05/2014	12/28 Springvale Drive	236000	3934	Full transfer	Multiple unit dwelling	30/01/2014	2	1	0	1	NA
7/04/2014	16/07/2014	9/121 Hawker Place	225000	3750	Full transfer	"Office,professional suite"	NA	NA	NA	NA	NA	NA
12/06/2014	NA	1/153 Murranji Street *	220000	5542	Full transfer	NA	3/10/2013	2	1	0	NA	1
27/01/2014	21/03/2014	22/32 Springvale Drive	0	4247	Full transfer	Multiple unit dwelling	NA	NA	NA	NA	NA	NA
17/03/2014	17/06/2014	3 Kurundi Place	0	1093	Full transfer	Single residential dwelling	NA	NA	NA	NA	NA	NA
15/06/2013	NA	16 Marrakai Street *	1525000	2852	Full transfer	NA	15/05/2013	6	3	1	3	NA
4/07/2013	22/10/2013	6 Marrakai Street	980000	1803	Full transfer	Single residential dwelling	5/06/2013	4	1	1	NA	2
16/11/2013	27/02/2014	28 Moroak Street	950000	1969	Full transfer	Single residential dwelling	15/10/2013	6	1	1	2	NA
20/07/2013	5/09/2013	100 Springvale Drive	830000	2061	Full transfer	Single residential dwelling	14/06/2013	4	1	1	2	NA
17/12/2013	13/02/2014	61 Ambalindum Street	812500	1122	Full transfer	Single residential dwelling	NA	NA	NA	NA	NA	NA
14/11/2013	13/12/2013	66 Woolner Circuit	785000	1611	Full transfer	Single residential dwelling	13/09/2013	4	1	1	3	NA
22/02/2013	9/05/2013	20 Kulgera Street	780000	914	Full transfer	Single residential dwelling	30/01/2013	4	1	1	NA	2
14/11/2013	NA	58 Alroy Circuit *	770000	914	Full transfer	NA	14/10/2013	4	1	1	2	NA
12/10/2013	17/12/2013	9 Mainoru Place	770000	1793	Full transfer	Single residential dwelling	20/09/2013	5	1	2	NA	NA
11/07/2013	21/08/2013	29 Woolner Circuit	749500	1044	Full transfer	Single residential dwelling	4/05/2013	5	1	1	1	NA
20/09/2013	7/02/2014	51 Ambalindum Street	700000	1660	Full transfer	Single residential dwelling	NA	NA	NA	NA	NA	NA
7/12/2013	3/02/2014	19 Goodparla Street	680000	1152	Full transfer	Single residential dwelling	7/11/2013	4	2	1	2	NA
5/04/2013	15/07/2013	34 Erldunda Circuit	650000	749	Full transfer	Single residential dwelling	NA	NA	NA	NA	NA	NA
27/05/2013	2/07/2013	13 Erldunda Circuit	632500	893	Full transfer	Single residential dwelling	24/04/2013	4	1	1	2	NA
3/05/2013	NA	104 Murranji Street *	615000	880	Full transfer	NA	29/01/2013	4	1	1	2	NA
12/06/2013	15/08/2013	80 Springvale Drive	595000	1093	Full transfer	Single residential dwelling	8/04/2013	4	1	1	2	NA
27/03/2013	14/05/2013	10 Murranji Street	585000	957	Full transfer	Single residential dwelling	19/02/2013	4	3	0	2	NA
15/08/2013	NA	7/30 Jinka Street *	578000	7726	Full transfer	NA	31/07/2013	3	1	1	2	NA
15/08/2013	24/10/2013	7/10 Jinka Street	578000	7726	Full transfer	Multiple unit dwelling	NA	NA	NA	NA	NA	NA
4/11/2013	13/12/2013	2/74 Hawker Place	500000	447	Full transfer	Non retail commercial uses	NA	NA	NA	NA	NA	NA
1/10/2013	7/11/2013	116 Murranji Street	496000	949	Full transfer	Single residential dwelling	11/06/2013	4	1	1	NA	2
